driver,driver_id,first_name,last_name,birth_date,license_id,license_expiry,hire_date,termination_date,email_address
James Christopher,C1-2otptxq7m86e,James,Christopher,1970-09-02,PX651609,2022-09-16,2007-05-01,2014-03-01,james.christopher@swiftshipments.com
Daniel Shirley,C1-yxw1iz8fszre,Daniel,Shirley,1980-04-06,QQ007890,2018-04-15,2014-12-01,1900-01-01,daniel.shirley@swiftshipments.com
Rachel Sandra,B1-kxfrpybslkob,Rachel,Sandra,1985-11-10,HS978806,2021-11-02,1986-03-01,1900-01-01,rachel.sandra@swiftshipments.com
Norbert Debra,A1-y5wkiaudmn3w,Norbert,Debra,1979-08-13,CG725987,2015-05-08,1986-06-01,1900-01-01,norbert.debra@swiftshipments.com
Thomas Ruth,B1-dsgyraz6fkj7,Thomas,Ruth,1994-07-22,IE597918,2019-10-25,2013-06-01,1900-01-01,thomas.ruth@swiftshipments.com
George Christine,A1-r8gmvwxsfmam,George,Christine,1960-03-17,DJ876919,2018-11-24,1992-10-01,2002-01-01,george.christine@swiftshipments.com
Nick Susan,B1-qmjdtvvgd2js,Nick,Susan,1984-06-26,RS987549,2021-06-24,2017-03-01,1900-01-01,nick.susan@swiftshipments.com
Carlos Linda,C1-qhp3tte5dphq,Carlos,Linda,1972-02-25,GL255887,2018-10-13,1993-04-01,1900-01-01,carlos.linda@swiftshipments.com
Anthony Maria,A1-c160pbidyrvx,Anthony,Maria,1988-03-27,SC619928,2016-06-21,2016-02-01,2013-11-01,anthony.maria@swiftshipments.com
Eli Carolyn,B1-4rwqmzfnvvfx,Eli,Carolyn,1998-01-02,YA407576,2019-04-17,2007-03-01,1993-08-01,eli.carolyn@swiftshipments.com
Justin Kimberly,C1-8rkv7u4z0qhg,Justin,Kimberly,1989-04-27,JN238266,2021-10-10,1985-12-01,2021-10-01,justin.kimberly@swiftshipments.com
Stephen Stephen,A1-osrl6mczto9p,Stephen,Stephen,1978-01-05,YC192782,2016-10-15,2017-02-01,1984-04-01,stephen.stephen@swiftshipments.com
Sandra Susan,B1-skl94tc3cvbv,Sandra,Susan,1993-01-07,YG123337,2022-09-08,2006-12-01,2009-12-01,sandra.susan@swiftshipments.com
Raymond Timothy,C1-2nyqpxvfznas,Raymond,Timothy,1961-07-01,FS953801,2015-10-18,1993-06-01,1996-08-01,raymond.timothy@swiftshipments.com
Paul Linda,B1-bxkjltfgog6k,Paul,Linda,1995-03-08,CQ045480,2021-03-26,2008-08-01,1900-01-01,paul.linda@swiftshipments.com
Samuel Margaret,A1-xrgxgo848uuc,Samuel,Margaret,1963-07-25,XH956813,2018-03-03,1996-12-01,2011-03-01,samuel.margaret@swiftshipments.com
Daniel Brian,B1-y3xvoifmocfv,Daniel,Brian,1996-04-28,RX482838,2022-04-06,1999-05-01,1985-01-01,daniel.brian@swiftshipments.com
Shaun Tyler,C1-nwupu7vqrrdm,Shaun,Tyler,1985-06-10,RN930762,2017-03-17,1996-08-01,1900-01-01,shaun.tyler@swiftshipments.com
Jack Anna,A1-ovsgpq4lbpmg,Jack,Anna,1966-01-20,HD068124,2022-09-15,1993-05-01,1992-11-01,jack.anna@swiftshipments.com
Pamela Susan,C1-yvfxlbt8jejx,Pamela,Susan,1978-11-10,FP646515,2015-11-16,1997-11-01,1900-01-01,pamela.susan@swiftshipments.com
Matthew Nicholas,C1-avhjytwlvrgd,Matthew,Nicholas,1993-09-05,HI037590,2017-03-02,2019-07-01,2017-10-01,matthew.nicholas@swiftshipments.com
Carol Deborah,A1-dqbuppjyamrj,Carol,Deborah,1971-06-21,XY947459,2019-01-21,2018-08-01,1900-01-01,carol.deborah@swiftshipments.com
Emma Katherine,A1-rnwlrreh1qkb,Emma,Katherine,1984-03-15,PF621416,2018-12-17,1994-11-01,1900-01-01,emma.katherine@swiftshipments.com
Donna Shirley,C1-blknqboul3tq,Donna,Shirley,1988-12-26,PS676142,2019-05-12,2017-12-01,1900-01-01,donna.shirley@swiftshipments.com
Daniel Ryan,C1-vfd2z4smswkf,Daniel,Ryan,1994-07-25,LZ977097,2020-04-17,2007-05-01,1900-01-01,daniel.ryan@swiftshipments.com
Mohammed Angela,A1-fdams5wibdwq,Mohammed,Angela,1967-10-07,WA588518,2018-11-23,2007-05-01,1989-11-01,mohammed.angela@swiftshipments.com
Angel Andrew,A1-djkcxo0nxect,Angel,Andrew,1998-02-26,MR537285,2015-06-01,2022-03-01,2010-11-01,angel.andrew@swiftshipments.com
Stephen Joshua,C1-bqvwg7ogabwg,Stephen,Joshua,1973-12-05,FT162683,2022-06-25,2007-09-01,1996-10-01,stephen.joshua@swiftshipments.com
Jeroen Verlinde,C1-xhs30xusw3qe,Jeroen,Verlinde,1985-02-08,GD119329,2020-01-13,1996-07-01,2007-07-01,jeroen.verlinde@swiftshipments.com
Debra Patricia,A1-qcqz4ze8vshb,Debra,Patricia,1986-09-22,WP137275,2018-04-28,2003-10-01,2006-06-01,debra.patricia@swiftshipments.com
Amanda Sarah,A1-5kviciks6iea,Amanda,Sarah,1998-07-13,BB255930,2021-09-24,2016-12-01,1994-09-01,amanda.sarah@swiftshipments.com
Jessica Richard,C1-hiqyf1c01jti,Jessica,Richard,1996-11-18,CG358120,2014-07-24,2008-09-01,1900-01-01,jessica.richard@swiftshipments.com
Jerry Gregory,B1-xcezp1y8nv62,Jerry,Gregory,1978-03-13,ID738656,2018-06-07,2007-11-01,2018-03-01,jerry.gregory@swiftshipments.com
Patricia Katherine,A1-fq2b52gbknk7,Patricia,Katherine,1970-03-13,TH944040,2016-06-10,2013-10-01,1988-12-01,patricia.katherine@swiftshipments.com
Ashley Samantha,C1-6qefoqiyputi,Ashley,Samantha,1997-07-26,ZH452079,2015-03-26,1992-12-01,2014-09-01,ashley.samantha@swiftshipments.com
Daniel Sharon,A1-2c1w6ce1ohxz,Daniel,Sharon,1982-07-01,KA614571,2019-04-01,1997-02-01,2004-03-01,daniel.sharon@swiftshipments.com
Angela Debra,A1-eixkpln3woad,Angela,Debra,1989-02-06,IW301725,2016-04-25,1993-01-01,1900-01-01,angela.debra@swiftshipments.com
Scott Dorothy,A1-4mkqxbm6zywt,Scott,Dorothy,1962-06-02,IU644724,2018-10-14,2020-02-01,2019-08-01,scott.dorothy@swiftshipments.com
Ryan Kenneth,C1-cpbugpokl9v7,Ryan,Kenneth,1962-06-16,HW893181,2016-04-27,1993-07-01,1990-01-01,ryan.kenneth@swiftshipments.com
Robert Deborah,A1-bs6cmtzldlgy,Robert,Deborah,1995-09-10,PR830287,2015-02-09,2006-07-01,1900-01-01,robert.deborah@swiftshipments.com
Robert Anthony,A1-xaejoqyop4q3,Robert,Anthony,1987-07-17,SV133564,2014-06-08,2001-01-01,1900-01-01,robert.anthony@swiftshipments.com
Kimberly Frank,C1-vmjznk8i2zpe,Kimberly,Frank,1969-03-03,PN515745,2021-02-10,2002-09-01,1987-03-01,kimberly.frank@swiftshipments.com
Heather Janet,C1-bg9kweebvb6t,Heather,Janet,1990-11-13,VR801612,2019-09-07,2009-03-01,1987-07-01,heather.janet@swiftshipments.com
Timothy John,B1-ogh4zjhli9v6,Timothy,John,1964-08-17,TR824401,2016-02-11,2012-05-01,1984-11-01,timothy.john@swiftshipments.com
Andrew Pamela,C1-vrmgtcixyvlg,Andrew,Pamela,1962-11-01,CK267089,2022-04-09,1995-09-01,1900-01-01,andrew.pamela@swiftshipments.com
William Anthony,C1-om4pn37d9ssu,William,Anthony,1966-06-24,UW662713,2018-07-08,2016-03-01,2012-05-01,william.anthony@swiftshipments.com
Erni Patrick,A1-dxckmoqozznk,Erni,Patrick,1966-04-10,OZ804420,2015-12-10,2016-03-01,2004-11-01,erni.patrick@swiftshipments.com
Gregory Steven,A1-eewe6ciurooq,Gregory,Steven,1961-03-15,WL841588,2021-09-17,2000-08-01,1900-01-01,gregory.steven@swiftshipments.com
Jeffrey Rebecca,B1-1pkfdbyw9pkp,Jeffrey,Rebecca,1985-11-16,XK882175,2015-01-21,2021-12-01,1985-11-01,jeffrey.rebecca@swiftshipments.com
Charles Carol,A1-82i7kliwpfvr,Charles,Carol,1998-10-18,MG478388,2015-01-14,2019-01-01,2019-04-01,charles.carol@swiftshipments.com
Paul Karen,B1-x8pki1i9dcc2,Paul,Karen,1965-12-17,MY486412,2014-08-05,1991-12-01,1990-11-01,paul.karen@swiftshipments.com
William Justin,C1-5udwg9bb3vlf,William,Justin,1972-08-15,UV023213,2016-07-19,2011-11-01,2007-08-01,william.justin@swiftshipments.com
Mary Timothy,C1-pjsqiszmj3ln,Mary,Timothy,1990-04-06,BO310574,2019-12-03,1990-11-01,2005-09-01,mary.timothy@swiftshipments.com
Andrew Donna,A1-fbazprbgr4hd,Andrew,Donna,1992-07-11,ED076742,2016-11-02,1986-02-01,1900-01-01,andrew.donna@swiftshipments.com
Steven Jason,B1-or1wyejvqlge,Steven,Jason,1982-05-15,DY284015,2020-05-22,1998-03-01,2008-10-01,steven.jason@swiftshipments.com
Eric Edward,B1-wjpqfe6aph9u,Eric,Edward,1986-11-25,BY989977,2018-10-28,2020-07-01,2003-10-01,eric.edward@swiftshipments.com
Richard Jacob,B1-lgx6srhwvis9,Richard,Jacob,1972-05-14,TA527857,2014-11-04,1992-03-01,1900-01-01,richard.jacob@swiftshipments.com
Ryan Richard,B1-3n7zosrlyfon,Ryan,Richard,1962-05-24,WR819949,2018-12-25,2003-06-01,1900-01-01,ryan.richard@swiftshipments.com
Janet Debra,C1-lizqqs1pyect,Janet,Debra,1971-11-24,JK292712,2020-01-03,2020-04-01,1985-10-01,janet.debra@swiftshipments.com
Tyler Daniel,B1-t1chme33fr3z,Tyler,Daniel,1991-05-02,KU390021,2016-11-01,1998-07-01,2008-04-01,tyler.daniel@swiftshipments.com
Charles Samuel,C1-yzwofl8h7nqh,Charles,Samuel,1977-01-10,OJ795127,2021-10-12,1999-06-01,1986-01-01,charles.samuel@swiftshipments.com
Linda Brandon,B1-oh55pcmr8cxw,Linda,Brandon,1964-08-18,YI542454,2018-12-27,2010-11-01,2009-11-01,linda.brandon@swiftshipments.com
Brenda Heather,B1-wxwbz7umlgps,Brenda,Heather,1990-03-17,BQ641553,2017-08-03,2021-04-01,1900-01-01,brenda.heather@swiftshipments.com
Angela Nicholas,C1-yd5vmtol8ngh,Angela,Nicholas,1969-04-01,HP259662,2021-07-15,2017-09-01,1900-01-01,angela.nicholas@swiftshipments.com
Janet Dennis,A1-h1mlz5zxzttx,Janet,Dennis,1982-07-28,ES614901,2014-04-13,1989-02-01,2001-10-01,janet.dennis@swiftshipments.com
Samuel David,C1-2bennoykmtqc,Samuel,David,1985-01-10,XH756923,2014-03-10,2010-08-01,2022-04-01,samuel.david@swiftshipments.com
Jason Steven,B1-vsmpfymz5fpx,Jason,Steven,1976-10-20,OR962476,2019-05-13,1987-01-01,1900-01-01,jason.steven@swiftshipments.com
Eric Patrick,A1-t4gosmsmrrsf,Eric,Patrick,1970-08-07,ZA551319,2021-07-03,2009-02-01,1900-01-01,eric.patrick@swiftshipments.com
Jessica Heather,B1-d8gmdfp7zw37,Jessica,Heather,1988-03-27,IH441168,2021-01-04,2022-03-01,2005-01-01,jessica.heather@swiftshipments.com
Scott Shirley,C1-aplq2jichpem,Scott,Shirley,1984-08-15,IV440075,2020-08-11,2016-03-01,2007-06-01,scott.shirley@swiftshipments.com
Brandon Scott,C1-mn87d43hx4ph,Brandon,Scott,1967-11-14,XQ879030,2022-02-28,2002-09-01,1900-01-01,brandon.scott@swiftshipments.com
Daniel Helen,B1-zj4su3u0sebg,Daniel,Helen,1975-01-24,WR606500,2021-12-10,2004-01-01,1991-10-01,daniel.helen@swiftshipments.com
Michael Jessica,B1-pqjiojlf4lg1,Michael,Jessica,1964-04-25,WT528727,2014-06-24,1992-11-01,2013-10-01,michael.jessica@swiftshipments.com
Steven Jonathan,A1-ojqyfhufmibt,Steven,Jonathan,1969-10-02,PW313438,2018-08-27,2022-06-01,1989-06-01,steven.jonathan@swiftshipments.com
Scott Anthony,B1-n2p8jarnebb8,Scott,Anthony,1969-04-17,BX222358,2022-03-05,2003-07-01,1900-01-01,scott.anthony@swiftshipments.com
Shirley Anna,B1-rrlnzm4qcmpp,Shirley,Anna,1985-08-25,TK080130,2022-11-17,2006-02-01,2022-11-01,shirley.anna@swiftshipments.com
Ronald Mark,A1-jp55gcsbrajt,Ronald,Mark,1986-12-26,NV451896,2016-08-25,2004-08-01,2019-05-01,ronald.mark@swiftshipments.com
Jason Kevin,C1-k2amyqsnmej3,Jason,Kevin,1968-08-05,OR074181,2019-06-19,2009-06-01,2018-09-01,jason.kevin@swiftshipments.com
Nicole Matthew,C1-4ioaptjf0oag,Nicole,Matthew,1974-11-03,NM163196,2018-03-25,2007-03-01,1900-01-01,nicole.matthew@swiftshipments.com
Elizabeth Frank,B1-wjunhi3uz4xa,Elizabeth,Frank,1985-12-19,FC532932,2016-03-08,2012-02-01,2018-08-01,elizabeth.frank@swiftshipments.com
Nicholas Emily,C1-bipiwge91aop,Nicholas,Emily,1964-04-22,UI960362,2014-02-15,1986-05-01,2002-02-01,nicholas.emily@swiftshipments.com
Michael Robert,C1-7yzg2sqqkidg,Michael,Robert,1972-02-25,XB165605,2019-03-24,1995-07-01,1900-01-01,michael.robert@swiftshipments.com
Melissa Melissa,B1-wv1wikch6dcb,Melissa,Melissa,1965-09-02,TM881226,2020-04-27,1999-09-01,1900-01-01,melissa.melissa@swiftshipments.com
Robin Betty,A1-easxbkqjrtpf,Robin,Betty,1970-08-15,JF435540,2021-06-25,2004-09-01,1900-01-01,robin.betty@swiftshipments.com
Amanda Sharon,C1-d08ywijb4ocx,Amanda,Sharon,1994-07-25,DC201791,2022-06-17,2021-01-01,1900-01-01,amanda.sharon@swiftshipments.com
Joseph Patricia,A1-zu7qvm0frdqm,Joseph,Patricia,1996-03-06,PO019687,2017-06-10,2018-03-01,1900-01-01,joseph.patricia@swiftshipments.com
Betty Donna,C1-cem55ftalghe,Betty,Donna,1978-04-28,XZ398683,2018-04-13,2017-12-01,2022-07-01,betty.donna@swiftshipments.com
Daniel Gary,C1-tk3ygetsueuf,Daniel,Gary,1995-06-21,AL017394,2015-01-18,2021-02-01,1900-01-01,daniel.gary@swiftshipments.com
